,finalist,variable,value
244,Karen from Finance_AUS_1_REG,2,2.0
245,Scarlet Adams_AUS_1_REG,2,2.0
246,Carmen Farala_ESP_1_REG,2,5.0
247,Killer Queen_ESP_1_REG,2,2.0
248,Sagittaria_ESP_1_REG,2,2.0
249,Pupi Poisson_ESP_1_REG,2,3.0
250,Kylie Sonique Love_US_6_AS,2,3.0
251,Ginger Minj_US_6_AS,2,2.0
252,Ra'jah O'Hara_US_6_AS,2,5.0
253,Eureka_US_6_AS,2,3.0
254,Vanessa Van Cartier_HOL_2_REG,2,2.0
255,My Little Puny_HOL_2_REG,2,2.0
256,Vivaldi_HOL_2_REG,2,3.0
257,Ella Vaday_UK_3_REG,2,2.0
258,Kitty Scott-Claus_UK_3_REG,2,3.0
259,Krystal Versace_UK_3_REG,2,5.0
260,Icesis Couture_CAN_2_REG,2,0.0
261,Kendall Gender_CAN_2_REG,2,3.0
262,Pythia_CAN_2_REG,2,5.0
263,Farida Kant_ITA_1_REG,2,2.0
264,Elecktra Bionic_ITA_1_REG,2,2.0
265,Le Riche_ITA_1_REG,2,0.0
266,Luquisha Lubamba_ITA_1_REG,2,1.0
267,Blu Hydrangea_UK_1_WORLD,2,2.0
268,Mo Heart_UK_1_WORLD,2,3.0
269,Baga Chipz_UK_1_WORLD,2,2.0
270,Jujubee_UK_1_WORLD,2,0.0
271,Angeria Paris VanMichaels_US_14_REG,2,5.0
272,Bosco_US_14_REG,2,
273,Daya Betty_US_14_REG,2,0.0
274,Lady Camden_US_14_REG,2,3.0
275,Willow Pill_US_14_REG,2,
276,Estrella Xtravaganza_ESP_2_REG,2,2.0
277,Sharonne_ESP_2_REG,2,5.0
278,Venedita Von Dash_ESP_2_REG,2,2.0
279,Marina_ESP_2_REG,2,2.0
280,Jinkx Monsoon_US_7_AS,2,5.0
281,Monet X Change_US_7_AS,2,3.0
282,Shea Coulee_US_7_AS,2,2.0
283,Trinity the Tuck_US_7_AS,2,4.0
284,Paloma_FRA_1_REG,2,5.0
285,La Grande Dame_FRA_1_REG,2,3.0
286,Soa de Muse_FRA_1_REG,2,0.0
287,Lolita Banana_FRA_1_REG,2,3.0
288,Gisele Lullaby_CAN_3_REG,2,2.0
289,Jada Shada Hudson_CAN_3_REG,2,0.0
290,Kimmy Couture_CAN_3_REG,2,5.0
291,Miss Fiercalicious_CAN_3_REG,2,3.0
292,Hanna Conda_AUS_2_REG,2,3.0
293,Kween Kong_AUS_2_REG,2,0.0
294,Spankie Jackzon_AUS_2_REG,2,5.0
295,Eva Le Queen_PH_1_REG,2,2.0
296,Marina Summers_PH_1_REG,2,2.0
297,Precious Paula Nicole_PH_1_REG,2,3.0
298,Xilhouete_PH_1_REG,2,2.0
299,Black Peppa_UK_4_REG,2,2.0
300,Cheddar Gorgeous_UK_4_REG,2,5.0
301,Danny Beard_UK_4_REG,2,5.0
302,Jonbers Blonde_UK_4_REG,2,0.0
303,La Diamond_ITA_2_REG,2,2.0
304,Aura Etherial_ITA_2_REG,2,5.0
305,Nehllenia_ITA_2_REG,2,2.0
306,Ra'jah O'Hara_CAN_1_WORLD,2,4.0
307,Rita Baga_CAN_1_WORLD,2,2.0
308,Silky Nutmeg Ganache_CAN_1_WORLD,2,1.0
309,Victoria Scone_CAN_1_WORLD,2,3.0
310,Anetra_US_15_REG,2,2.0
311,Luxx Noir London_US_15_REG,2,3.0
312,Mistress Isabelle Brookes_US_15_REG,2,2.0
313,Sasha Colby_US_15_REG,2,5.0
314,Athena Sorgelikis_BEL_1_REG,2,2.0
315,Drag Couenne_BEL_1_REG,2,5.0
316,Susan_BEL_1_REG,2,1.0
317,Admira Thunderpussy_SWE_1_REG,2,2.0
318,Fontana_SWE_1_REG,2,2.0
319,Vanity Vain_SWE_1_REG,2,0.0
320,Chad Michaels_US_1_AS,3,5.0
321,Raven_US_1_AS,3,0.0
322,Jujubee_US_1_AS,3,0.0
323,Shannel_US_1_AS,3,5.0
324,Alaska_US_2_AS,3,2.0
325,Detox_US_2_AS,3,4.0
326,Katya_US_2_AS,3,0.0
327,Roxxxy Andrews_US_2_AS,3,2.0
328,Trixie Mattel_US_3_AS,3,3.0
329,Kennedy Davenport_US_3_AS,3,5.0
330,BeBe Zahara Benet_US_3_AS,3,2.0
331,Shangela_US_3_AS,3,2.0
332,Monet X Change_US_4_AS,3,2.0
333,Trinity the Tuck_US_4_AS,3,4.0
334,Monique Heart_US_4_AS,3,2.0
335,Naomi Smalls_US_4_AS,3,3.0
336,Jujubee_US_5_AS,3,4.0
337,Shea Coulee_US_5_AS,3,0.0
338,Miz Cracker_US_5_AS,3,2.0
339,Priyanka_CAN_1_REG,3,5.0
340,Rita Baga_CAN_1_REG,3,2.0
341,Scarlett BoBo_CAN_1_REG,3,3.0
342,Envy Peru_HOL_1_REG,3,2.0
343,Janey Jacke_HOL_1_REG,3,2.0
344,Ma'Ma Queen_HOL_1_REG,3,5.0
345,Miss Abby OMG_HOL_1_REG,3,0.0
346,Natalia Pilacam_THI_1_REG,3,2.0
347,Annee Maywong_THI_1_REG,3,4.0
348,Dearis Doll_THI_1_REG,3,0.0
349,The Vivienne_UK_1_REG,3,3.0
350,Divina de Campo_UK_1_REG,3,5.0
351,Baga Chipz_UK_1_REG,3,2.0
352,Bebe Zahara Benet_US_1_REG,3,5.0
353,Nina Flowers_US_1_REG,3,3.0
354,Rebbeca Glasscock_US_1_REG,3,2.0
355,Aquaria_US_10_REG,3,2.0
356,Eureka_US_10_REG,3,3.0
357,Kameron Michaels_US_10_REG,3,1.0
358,Asia O'Hara_US_10_REG,3,5.0
359,Yvie Oddly_US_11_REG,3,3.0
360,Brooke Lynn Hytes_US_11_REG,3,3.0
361,A'keria Davenport_US_11_REG,3,0.0
362,Silky Nutmeg Ganache_US_11_REG,3,3.0
363,Jaida Essence Hall_US_12_REG,3,2.0
364,Crystal Methyd_US_12_REG,3,1.0
365,Gigi Goode_US_12_REG,3,2.0
366,Symone_US_13_REG,3,
367,Kandy Muse_US_13_REG,3,
368,Gottmik_US_13_REG,3,
369,Rose_US_13_REG,3,4.0
370,Angele Anang_THI_2_REG,3,2.0
371,Kana Warrior_THI_2_REG,3,0.0
372,Kandy Zyanide_THI_2_REG,3,2.0
373,Lawrence Chaney_UK_2_REG,3,5.0
374,Bimini Bon Boulash_UK_2_REG,3,3.0
375,Tayce_UK_2_REG,3,2.0
376,Ellie Diamond_UK_2_REG,3,2.0
377,Tyra Sanchez_US_2_REG,3,5.0
378,Raven_US_2_REG,3,0.0
379,Jujubee_US_2_REG,3,2.0
380,Raja_US_3_REG,3,2.0
381,Manila Luzon_US_3_REG,3,2.0
382,Alexis Mateo_US_3_REG,3,5.0
383,Sharon Needles_US_4_REG,3,5.0
384,Chad Michaels_US_4_REG,3,3.0
385,Phi Phi O'Hara_US_4_REG,3,2.0
386,Jinkx Monsoon_US_5_REG,3,3.0
387,Alaska_US_5_REG,3,1.0
388,Roxxxy Andrews_US_5_REG,3,3.0
389,Bianca Del Rio_US_6_REG,3,3.0
390,Adore Delano_US_6_REG,3,1.0
391,Courtney Act_US_6_REG,3,3.0
392,Violet Chachki_US_7_REG,3,2.0
393,Ginger Minj_US_7_REG,3,3.0
394,Pearl_US_7_REG,3,1.0
395,Bob the Drag Queen_US_8_REG,3,5.0
396,Kim Chi_US_8_REG,3,2.0
397,Naomi Smalls_US_8_REG,3,2.0
398,Sasha Velour_US_9_REG,3,2.0
399,Peppermint_US_9_REG,3,3.0
