Rank WRE,Rank,Country,Season,Code,W/R/E,Queen,Z-Score,Percent,Score,Episode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Mean: 3.11,,Bttm,Low,Safe,High,SWin,Win,LSA,T,,,
51,60,US,S3,US_S3,W,Raja,0.72,50.00%,6,12,2,-1,0,0,1,2,1,-1,2,1,-2,1,,,,,,1,2,2,4,0,3,,,--,"1,155",42
35,45,US,S3,US_S3,R,Manila Luzon,0.97,58.33%,7,12,1,0,0,2,0,1,-2,-1,1,1,2,2,,,,,,1,1,3,4,0,3,,,--,"1,177",27
35,109,US,S3,US_S3,E,Alexis Mateo,-0.28,16.67%,2,12,0,2,2,0,1,-2,0,2,0,-2,1,-2,,,,,,3,0,4,2,0,3,LSA,2,--,"1,081",90
41,39,US,S4,US_S4,W,Sharon Needles,1.21,66.67%,8,12,2,1,2,0,1,0,1,-2,2,-1,2,0,,,,,,1,1,3,3,0,4,,,--,"1,183",21
52,73,US,S4,US_S4,R,Chad Michaels,0.47,41.67%,5,12,0,2,1,1,2,0,-1,0,1,1,-2,0,,,,,,1,1,4,4,0,2,,,--,"1,130",55
64,95,US,S4,US_S4,R,Phi Phi O'Hara,-0.03,25.00%,3,12,0,0,0,1,-1,1,2,-2,-1,2,1,0,,,,,,1,2,4,3,0,2,,,--,"1,107",77
41,39,US,S5,US_S5,W,Jinkx Monsoon,1.21,66.67%,8,12,0,0,1,1,2,1,1,1,2,1,-2,0,,,,,,1,0,3,6,0,2,,,--,"1,183",21
64,95,US,S5,US_S5,R,Alaska,-0.03,25.00%,3,12,1,0,-1,0,1,-1,-1,2,1,-1,2,0,,,,,,0,4,3,3,0,2,,,--,"1,107",77
52,73,US,S5,US_S5,R,Roxxxy Andrews,0.47,41.67%,5,12,2,0,1,-1,1,1,-2,-1,1,2,1,0,,,,,,1,2,2,5,0,2,,,--,"1,130",55
18,8,US,S6,US_S6,W,Bianca Del Rio,1.96,100.00%,11,11,,2,1,0,1,1,1,2,0,2,1,0,,,,,,0,0,3,5,0,3,,,Never,137,8
75,106,US,S6,US_S6,R,Adore Delano,-0.28,18.18%,2,11,-1,,-1,1,1,2,2,0,-2,-2,2,0,,,,,,2,2,2,2,0,3,,,--,"1,084",87
75,106,US,S6,US_S6,R,Courtney Act,-0.28,18.18%,2,11,,0,1,2,0,0,-1,0,2,-1,-1,0,,,,,,0,3,5,1,0,2,,,--,"1,084",87
51,60,US,S7,US_S7,W,Violet Chachki,0.72,50.00%,6,12,2,1,0,0,-1,0,0,1,-1,2,2,0,,,,,,0,2,5,2,0,3,,,--,"1,155",42
52,73,US,S7,US_S7,R,Ginger Minj,0.47,41.67%,5,12,0,2,1,0,0,1,2,-2,2,-2,1,0,,,,,,2,0,4,3,0,3,,,--,"1,130",55
85,123,US,S7,US_S7,R,Pearl,-0.77,0.00%,0,12,0,0,-1,-2,2,0,0,2,-2,0,1,0,,,,,,2,1,6,1,0,2,,,--,450,104
60,68,US,S8,US_S8,W,Bob the Drag Queen,0.22,44.44%,4,9,0,0,2,0,2,0,2,-2,0,,,,,,,,,1,0,5,0,0,3,,,--,"1,137",50
32,39,US,S8,US_S8,R,Kim Chi,0.72,66.67%,6,9,2,1,0,1,0,1,-1,2,0,,,,,,,,,0,1,3,3,0,2,,,--,"1,183",21
66,99,US,S8,US_S8,R,Naomi Smalls,-0.28,22.22%,2,9,-1,0,0,1,-2,2,1,1,0,,,,,,,,,1,1,3,3,0,1,,,--,"1,102",81
41,39,US,S9,US_S9,W,Sasha Velour,1.21,66.67%,8,12,1,0,0,2,0,1,-1,1,2,1,1,0,,,,,,0,1,4,5,0,2,,,--,"1,183",21
85,123,US,S9,US_S9,R,Peppermint,-0.77,0.00%,0,12,0,0,1,-1,1,-2,0,2,1,0,-2,0,,,,,,2,1,5,3,0,1,,,--,450,104
11,36,US,S9,US_S9,E,Shea Coulee,1.46,75.00%,9,12,0,1,0,2,2,0,1,1,2,-2,2,0,,,,,,1,0,4,3,0,4,,,--,"1,198",18
25,82,US,S9,US_S9,E,Trinity Taylor,0.22,33.33%,4,12,0,1,2,-2,0,0,2,-1,1,2,-1,0,,,,,,1,2,4,2,0,3,,,--,"1,116",64
62,70,AUS,S1,AUS_S1,W,Kita Mean,-0.03,42.86%,3,7,0,1,1,0,1,2,-2,,,,,,,,,,,1,0,2,3,0,1,,,--,"1,134",52
101,140,AUS,S1,AUS_S1,R,Art Simone,-1.02,-16.67%,-1,6,1,-2,,1,0,0,-1,,,,,,,,,,,1,1,2,2,0,0,,,--,425,121
97,135,AUS,S1,AUS_S1,R,Karen from Finance,-1.02,-14.29%,-1,7,2,0,0,-2,-1,1,-1,,,,,,,,,,,1,2,2,1,0,1,,,--,428,116
31,38,AUS,S1,AUS_S1,R,Scarlet Adams,0.47,71.43%,5,7,1,0,2,2,0,-2,2,,,,,,,,,,,1,0,2,1,0,3,,,--,"1,187",20
18,8,ESP,S1,ESP_S1,W,Carmen Farala,0.97,100.00%,7,7,1,2,0,-1,1,2,2,,,,,,,,,,,0,1,1,2,0,3,,,--,"1,220",1
97,135,ESP,S1,ESP_S1,R,Killer Queen,-1.02,-14.29%,-1,7,0,0,0,2,-2,1,-2,,,,,,,,,,,2,0,3,1,0,1,,,--,428,116
85,123,ESP,S1,ESP_S1,R,Sagittaria,-0.77,0.00%,0,7,1,0,2,1,0,-2,-2,,,,,,,,,,,2,0,2,2,0,1,,,--,450,104
38,112,ESP,S1,ESP_S1,E,Pupi Poisson,-0.52,14.29%,1,7,-1,1,1,1,2,-1,-2,,,,,,,,,,,1,2,0,3,0,1,,,--,"1,077",93
65,90,US,AS6,US_AS6,W,Kylie Sonique Love,-0.03,30.00%,3,10,0,1,0,0,-2,2,1,1,-1,,1,,,,,,,1,1,3,4,0,1,,,--,"1,114",72
55,77,US,AS6,US_AS6,R,Ginger Minj,0.22,40.00%,4,10,0,0,-2,-1,2,1,0,2,1,,1,,,,,,,1,1,3,3,0,2,,,--,"1,129",59
50,67,US,AS6,US_AS6,R,Rajah O'Hara,0.34,45.00%,4.5,10,1,2,1,0,0,-2,1,0,1.5,,0,,,,,,,1,0,4,3,1,1,,,--,"1,139",49
56,80,US,AS6,US_AS6,R,Eureka,0.22,36.36%,4,11,0,1,0,1,1,-1,0,0,-2,2,2,,,,,,,1,1,4,3,0,2,,,--,"1,126",62
76,112,HOL,2,HOL_2,W,Vanessa Van Cartier,-0.52,14.29%,1,7,1,0,0,-1,2,-1,0,,,,,,,,,,,0,2,3,1,0,1,,,--,"1,077",93
37,48,HOL,2,HOL_2,R,My Little Puny,0.22,57.14%,4,7,1,0,0,2,-2,1,2,,,,,,,,,,,1,0,2,2,0,2,,,--,"1,172",30
38,112,HOL,2,HOL_2,E,Vivaldi,-0.52,14.29%,1,7,1,1,2,0,1,-2,-2,,,,,,,,,,,2,0,1,3,0,1,,,--,"1,077",93
6,6,UK,3,UK_3,R,Ella Vaday,1.71,111.11%,10,9,0,0,1,2,0,2,1,2,2,,,,,,,,,0,0,3,2,0,4,,,Never,198,6
24,31,UK,3,UK_3,R,Kitty Scott-Claus,0.97,77.78%,7,9,0,1,0,0,0,1,2,2,1,,,,,,,,,0,0,4,3,0,2,,,Never,124,15
60,68,UK,3,UK_3,W,Krystal Versace,0.22,44.44%,4,9,2,2,1,0,0,-1,1,1,-2,,,,,,,,,1,1,2,3,0,2,,,--,"1,137",50
68,99,CAN,2,CAN_2,W,Icesis Couture,-0.28,22.22%,2,9,2,-2,0,0,1,2,1,-2,0,,,,,,,,,2,0,3,2,0,2,,,--,"1,102",81
103,143,CAN,2,CAN_2,R,Kendall Gender,-1.27,-22.22%,-2,9,0,1,-1,0,-1,-2,2,-1,0,,,,,,,,,1,3,3,1,0,1,,,--,423,124
24,31,CAN,2,CAN_2,R,Pythia,0.97,77.78%,7,9,0,2,0,1,1,1,0,2,0,,,,,,,,,0,0,4,3,0,2,,,Never,124,15
22,29,ITA,1,ITA_1,R,Farida Kant,0.22,80.00%,4,5,2,0,0,0,2,,,,,,,,,,,,,0,0,3,0,0,2,,,Never,127,14
74,104,ITA,1,ITA_1,W,Elecktra Bionic,-0.52,20.00%,1,5,0,0,0,0,1,,,,,,,,,,,,,0,0,4,1,0,0,,,Never,118,19
115,152,ITA,1,ITA_1,R,Le Riche,-1.52,-60.00%,-3,5,0,-2,-2,2,-1,,,,,,,,,,,,,2,1,1,0,0,1,,,--,387,133
67,152,ITA,1,ITA_1,E,Luquisha Lubamba,-1.52,-60.00%,-3,5,-2,-1,1,1,-2,,,,,,,,,,,,,2,1,0,2,0,0,,,--,387,133
74,104,UK_WORLD,1,UK_WORLD_1,W,Blu Hydrangea,-0.52,20.00%,1,5,1,0,0,2,-2,,,,,,,,,,,,,1,0,2,1,0,1,,,--,"1,087",86
95,131,UK_WORLD,1,UK_WORLD_1,R,Mo Heart,-0.90,-10.00%,-0.5,5,0,1,-1,-2,1.5,,,,,,,,,,,,,1,1,1,1,1,0,,,--,436,112
41,118,UK_WORLD,1,UK_WORLD_1,E,Baga Chipz,-0.65,10.00%,0.5,5,1,0,0,1.5,-2,,,,,,,,,,,,,1,0,2,1,1,0,,,--,"1,072",99
71,155,UK_WORLD,1,UK_WORLD_1,E,Jujubee,-1.76,-80.00%,-4,5,0,-2,-2,-2,2,,,,,,,,,,,,,3,0,1,0,0,1,LSA,2,--,374,136
15,45,US,14,US_14,E,Angeria Paris VanMichaels,0.97,58.33%,7,12,,2,1,2,1,1,0,1,0,-2,0,0,1,-2,,,,2,0,4,5,0,2,,,--,"1,177",27
25,82,US,14,US_14,E,Bosco,0.22,33.33%,4,12,1,,0,0,2,0,1,0,2,-2,0,-2,2,-1,,,,2,1,5,2,0,3,,,--,"1,116",64
51,142,US,14,US_14,E,Daya Betty,-1.39,-20.83%,-2.5,12,,-2,0,0,0,0,1.5,2,-1,-2,0,1,-2,1,,,,3,1,5,2,1,1,LSA,2,--,424,123
58,82,US,14,US_14,R,Lady Camden,0.22,33.33%,4,12,,1,0,0,1,1,2,-1,0,-2,0,2,0,2,,,,1,1,5,3,0,3,,,--,"1,116",64
51,60,US,14,US_14,W,Willow Pill,0.72,50.00%,6,12,1,,2,1,0,0,1,0,1,-2,0,1,1,-2,,,,2,0,4,6,0,1,,,--,"1,155",42
79,117,ESP,2,ESP_2,R,Estrella Xtravaganza,-0.52,11.11%,1,9,0,0,1,2,0,-2,2,0,-2,,,,,,,,,2,0,4,1,0,2,,,--,"1,075",98
7,1,ESP,2,ESP_2,W,Sharonne,1.96,122.22%,11,9,1,2,1,1,2,0,2,1,1,,,,,,,,,0,0,1,5,0,3,,,Never,207,1
40,53,ESP,2,ESP_2,R,Venedita Von Dash,0.47,55.56%,5,9,0,0,2,0,1,1,1,-2,2,,,,,,,,,1,0,3,3,0,2,,,--,"1,168",35
47,132,ESP,2,ESP_2,E,Marina,-1.02,-11.11%,-1,9,1,0,0,1,0,-1,-2,2,-2,,,,,,,,,2,1,3,2,0,1,,,--,434,113
34,26,US,AS7,US_AS7,W,Jinkx Monsoon,1.46,81.82%,9,11,0,2,0,1.5,2,0,0,0,1.5,2,0,,,,,,,0,0,6,0,2,3,,,Never,128,11
21,26,US,AS7,US_AS7,R,Monet X Change,1.46,81.82%,9,11,1.5,1,0,0,0,1,1,0,2,1,1.5,,,,,,,0,0,4,4,2,1,,,Never,128,11
9,26,US,AS7,US_AS7,E,Shea Coulee,1.46,81.82%,9,11,2,0,1,0,1,1,1,0,1,0,2,,,,,,,0,0,4,5,0,2,,,Never,128,11
10,35,US,AS7,US_AS7,E,Trinity the Tuck,1.34,77.27%,8.5,11,1,1.5,1.5,0,0,0,2,1,0,1.5,0,,,,,,,0,0,5,2,3,1,,,Never,123,18
45,48,FRA,1,FRA_1,W,Paloma,0.22,57.14%,4,7,0,2,1,1,-2,2,0,,,,,,,,,,,1,0,2,2,0,2,,,--,"1,172",30
51,70,FRA,1,FRA_1,R,La Grande Dame,-0.03,42.86%,3,7,0,1,1,2,-1,0,0,,,,,,,,,,,0,1,3,2,0,1,,,--,"1,134",52
62,92,FRA,1,FRA_1,R,Soa de Muse,-0.28,28.57%,2,7,2,-2,-2,1,2,1,0,,,,,,,,,,,2,0,1,2,0,2,,,--,"1,111",74
61,147,FRA,1,FRA_1,E,Lolita Banana,-1.52,-42.86%,-3,7,0,1,0,-1,1,-2,-2,,,,,,,,,,,2,1,2,2,0,0,,,--,402,128
67,95,CAN,3,CAN_3,W,Gisele Lullaby,-0.28,25.00%,2,8,0,0,0,2,2,-1,-2,1,,,,,,,,,,1,1,3,1,0,2,,,--,"1,107",77
96,134,CAN,3,CAN_3,R,Jada Shada Hudson,-1.02,-12.50%,-1,8,1,-2,2,-2,0,1,-1,0,,,,,,,,,,2,1,2,2,0,1,,,--,433,115
40,116,CAN,3,CAN_3,E,Kimmy Couture,-0.52,12.50%,1,8,0,2,1,1,-2,0,1,-2,,,,,,,,,,2,0,2,3,0,1,,,--,"1,076",97
23,79,CAN,3,CAN_3,E,Miss Fiercalicious,-0.03,37.50%,3,8,-1,1,-2,0,0,2,1,2,,,,,,,,,,1,1,2,2,0,2,,,--,"1,127",61
17,20,AUS,2,AUS_2,R,Hanna Conda,0.72,85.71%,6,7,1,1,0,2,2,2,-2,,,,,,,,,,,1,0,1,2,0,3,,,--,"1,203",11
97,135,AUS,2,AUS_2,R,Kween Kong,-1.02,-14.29%,-1,7,-1,-2,0,0,2,-2,2,,,,,,,,,,,2,1,2,0,0,2,,,--,428,116
18,8,AUS,2,AUS_2,W,Spankie Jackzon,0.97,100.00%,7,7,-2,2,2,1,2,1,1,,,,,,,,,,,1,0,0,3,0,3,,,--,"1,220",1
25,82,PH,1,PH_1,E,Eva Le Queen,-0.03,33.33%,3,9,1,0,1,0,0,1,-2,1,1,,,,,,,,,1,0,3,5,0,0,,,--,"1,116",64
14,17,PH,1,PH_1,R,Marina Summers,1.21,88.89%,8,9,1,0,1,1,2,1,1,-1,2,,,,,,,,,0,1,1,5,0,2,,,--,"1,207",8
46,53,PH,1,PH_1,W,Precious Paula Nicole,0.47,55.56%,5,9,0,1,0,2,1,0,-1,1,1,,,,,,,,,0,1,3,4,0,1,,,--,"1,168",35
30,99,PH,1,PH_1,E,Xilhouete,-0.28,22.22%,2,9,-1,0,-2,1,1,2,1,2,-2,,,,,,,,,2,1,1,3,0,2,,,--,"1,102",81
69,154,UK,4,UK_4,E,Black Peppa,-2.26,-66.67%,-6,9,2,0,-2,0,0,-2,0,-2,-2,,,,,,,,,4,0,4,0,0,1,LSA,3,--,382,135
24,31,UK,4,UK_4,R,Cheddar Gorgeous,0.97,77.78%,7,9,0,2,-1,1,0,2,2,2,-1,,,,,,,,,0,2,2,1,0,4,,,--,"1,199",17
17,6,UK,4,UK_4,W,Danny Beard,1.71,111.11%,10,9,0,2,0,2,2,0,1,1,2,,,,,,,,,0,0,3,2,0,4,,,Never,198,6
58,145,UK,4,UK_4,E,Jonbers Blonde,-1.52,-33.33%,-3,9,0,-2,-1,0,1,1,-1,-2,1,,,,,,,,,2,2,2,3,0,0,,,--,405,126
14,3,ITA,2,ITA_2,W,La Diamond,1.21,114.29%,8,7,2,0,2,2,0,0,2,,,,,,,,,,,0,0,3,0,0,4,,,Never,200,3
62,92,ITA,2,ITA_2,R,Aura Etherial,-0.28,28.57%,2,7,-1,2,-1,0,1,0,1,,,,,,,,,,,0,2,2,2,0,1,,,--,"1,111",74
41,60,ITA,2,ITA_2,R,Nehllenia,0.10,50.00%,3.5,7,0,0,0,1,1.5,2,-1,,,,,,,,,,,0,1,3,1,1,1,,,--,"1,155",42
77,118,CAN_WORLD,1,CAN_WORLD_1,W,Ra'Jah O'Hara,-0.65,10.00%,0.5,5,1,1.5,0,-2,0,,,,,,,,,,,,,1,0,2,1,1,0,,,--,"1,072",99
28,90,CAN_WORLD,1,CAN_WORLD_1,E,Rita Baga,-0.40,30.00%,1.5,5,1.5,0,-2,0,2,,,,,,,,,,,,,1,0,2,0,1,1,,,--,"1,114",72
